Data generated by the ASTRA High Altitude Balloon Flight Planner - University of Southampton,,,,,
Simulation #,Time from launch [s],Latitude,Longitude,Altitude [m],Remarks
1.0,0.0,29.2108,-81.0228,4.0,Balloon Launch
1.0,3.0,29.210726773831375,-81.02297156565386,10.985730371882008,
1.0,6.0,29.210653572461084,-81.0231431798711,19.698548050496196,
1.0,9.0,29.210580395871684,-81.02331484262955,28.413670464901934,
1.0,12.0,29.210507244045765,-81.02348655390719,37.128770422781884,
1.0,15.0,29.210434116965867,-81.02365831368199,45.84387038066184,
1.0,18.0,29.210361014614474,-81.02383012193184,54.55897033854179,
1.0,21.0,29.21028793697411,-81.02400197863477,63.27407029642174,
1.0,24.0,29.210214884027216,-81.02417388376874,71.98917904380787,
1.0,27.0,29.21014185575626,-81.02434583731181,80.70428940243742,
1.0,30.0,29.21006885214366,-81.02451783924205,89.41939976106698,
1.0,33.0,29.20999587317179,-81.02468988953744,98.13451011969654,
1.0,36.0,29.20992291882305,-81.02486198817613,106.85060247257694,
1.0,39.0,29.20984998907979,-81.02503413513621,115.56760762237086,
1.0,42.0,29.2097770839243,-81.02520633039573,124.28461277216479,
1.0,45.0,29.209704203338926,-81.0253785739329,133.0016179219587,
1.0,48.0,29.209631347305905,-81.0255508657258,141.71862307175263,
1.0,51.0,29.20955851580753,-81.0257232057527,150.43562822154655,
1.0,54.0,29.209485708826026,-81.02589559399175,159.1526333713405,
1.0,57.0,29.20941292634358,-81.02606803042113,167.86963852113442,
1.0,60.0,29.209340168342404,-81.02624051501914,176.58664367092834,
1.0,63.0,29.209267434804655,-81.02641304776401,185.30364882072226,
1.0,66.0,29.20919472571245,-81.02658562863395,194.0206539705162,
1.0,69.0,29.2091221864701,-81.02675840334437,202.73765912031013,
1.0,72.0,29.20905068209347,-81.02693222912187,211.45466427010405,
1.0,75.0,29.208980221483703,-81.02710709807056,220.1787501179043,
1.0,78.0,29.208910813572487,-81.02728300224548,228.91056696173115,
1.0,81.0,29.208842466324754,-81.02745993274655,237.64238380555798,
1.0,84.0,29.208775187638384,-81.02763788060534,246.37420064938485,
1.0,87.0,29.208708985343822,-81.02781683678545,255.1060174932117,
