	name	styleUrl	coordinates	tessellate	description
2288b77ed67fd79b	Lake	#poly-000000-2000-77-nodesc	-117.3961004,35.7783814,0 -117.3974777,35.6501786,0 -117.2642917,35.6490576,0 -117.2684077,35.7794931,0 -117.3961004,35.7783814,0	1	
33fdd0d8a8a62abb	Fly-in community	#poly-000000-2000-77-nodesc	-117.9035851,35.2663765,0 -117.9063321,34.9833155,0 -117.6014486,34.9882385,0 -117.626172,35.2686197,0 -117.9035851,35.2663765,0	1	
68819f5e4523e0cd	Military Base	#poly-000000-2000-77-nodesc	-116.4742606,35.3899078,0 -117.028727,35.389069,0 -117.028761,35.201883,0 -116.4698317,35.2069324,0 -116.4742606,35.3899078,0	1	
11f314d5fc5634a9	Mountain Range ~ 2500 m	#poly-000000-1200-77-nodesc	-118.243266,35.4586389,0 -118.4465131,35.4600372,0 -118.447543,35.3892563,0 -118.2429226,35.3886965,0 -118.243266,35.4586389,0	1	
3268553cfbf45aff	Lake	#poly-000000-1200-77-nodesc	-118.5165509,35.6389492,0 -118.3393964,35.6395072,0 -118.4266003,35.7297186,0 -118.5165509,35.6389492,0	1	
f1e76a323d8478f6	Mountain Range, altitude ~ 3300 m	#poly-000000-2000-77-nodesc	-116.8424228,33.83834,0 -116.8400194,33.7256246,0 -116.6134263,33.726766,0 -116.6172028,33.8383398,0 -116.8424228,33.83834,0	1	
24857fb4d73b8cdf	Danger Zone	#poly-000000-2000-77-nodesc	-116.8415299,33.3986005,0 -116.840994,33.3023377,0 -116.7344134,33.3016668,0 -116.733726,33.399747,0 -116.8415299,33.3986005,0	1	
d37ef6776df53208	Mountain Range, altitude ~ 3400 m	#poly-000000-2000-77-nodesc	-116.8441526,34.0027846,0 -116.7184982,34.0033539,0 -116.7181545,34.0813019,0 -116.8438097,34.0818709,0 -116.8441526,34.0027846,0	1	
2e142320ea44d273	Mountain Range, altitude ~ 2070 m	#poly-000000-1200-77-nodesc	-116.7311636,33.6450449,0 -116.7308203,33.5890077,0 -116.6473929,33.5898657,0 -116.6484228,33.6461882,0 -116.7311636,33.6450449,0	1	
27dfed25a8ccecb4	Mountain Range, altitude ~ 2180 m	#poly-000000-1200-77-nodesc	-116.6105945,33.6987299,0 -116.6116245,33.6617325,0 -116.5692241,33.6621611,0 -116.5695674,33.6991584,0 -116.6105945,33.6987299,0	1	
21433c902ef45c6f	Mountain Range, altitude ~ 2300 m	#poly-000000-1200-77-nodesc	-116.6457851,33.7258608,0 -116.6449268,33.6823044,0 -116.616946,33.6825901,0 -116.6181476,33.7270029,0 -116.6457851,33.7258608,0	1	
34f91007a2c6f1f2	Mountain Range, altitude ~ 2940 m	#poly-000000-1200-77-nodesc	-116.5881069,33.6618754,0 -116.5881069,33.6247191,0 -116.5536029,33.6247191,0 -116.5548046,33.6625897,0 -116.5881069,33.6618754,0	1	
5b8cb7b797ffb465	Airport	#poly-000000-1200-77-nodesc	-116.5235769,33.8447555,0 -116.5231478,33.8112443,0 -116.482979,33.8112443,0 -116.4835798,33.8448268,0 -116.5235769,33.8447555,0	1	
267b979862832b05	Mountain Range, altitude ~ 2650 m	#poly-000000-1200-77-nodesc	-116.4671352,33.5582738,0 -116.4685085,33.4947365,0 -116.3840511,33.4938776,0 -116.3867977,33.5585599,0 -116.4671352,33.5582738,0	1	
19f531fe26d54e69	Airport	#poly-000000-1200-77-nodesc	-116.1815165,33.6421937,0 -116.1813449,33.6128206,0 -116.1400603,33.6128921,0 -116.1410044,33.6421937,0 -116.1815165,33.6421937,0	1	
2404513fff181819	Mountain Range, altitude ~ 2230 m	#poly-000000-1200-77-nodesc	-116.0459548,35.8039467,0 -116.0466414,35.6545612,0 -115.8042556,35.6540033,0 -115.811122,35.8078448,0 -116.0459548,35.8039467,0	1	
237c756088cca8cb	Highway	#poly-000000-2000-77-nodesc	-116.478964,35.038572,0 -116.478621,35.026062,0 -116.463601,35.026449,0 -116.463772,35.039521,0 -116.478964,35.038572,0	1	
